session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f7a559ca6bcc6587789e3,600e373ea7a2226d059a4a98,AWAITING REVIEW,2021-11-25 11:59:28.492000,2021-11-25 12:35:26.194000,2157.702,20,546,0,100,,E11857CB,United States,United States,Part-Time,Black,English,United States,Female,Yes
619f7a5a9627de8d08d1b054,60f853cd86a859bfa351a37c,AWAITING REVIEW,2021-11-25 12:01:51.963000,2021-11-25 12:47:26.632000,2734.669,27,179,0,100,,E11857CB,United States,United States,Full-Time,Black,English,United States,Female,Yes
619f7a73e023865b630c39c6,60ca93b4fcd7ff11d29bcb90,AWAITING REVIEW,2021-11-25 12:03:33.456000,2021-11-25 12:30:44.587000,1631.131,60,153,1,100,,E11857CB,Ireland,United States,Part-Time,White,English,Ireland,Female,No
619f7a84b93de9c94fc0ffbd,5a5a507d76d1c60001ab2ac7,AWAITING REVIEW,2021-11-25 11:59:04.530000,2021-11-25 12:39:09.036000,2404.506,61,999,2,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f7ab4ee25a0c52b152832,5c8eb16ed169ac0001c27629,AWAITING REVIEW,2021-11-25 11:59:53.059000,2021-11-25 12:50:25.562000,3032.503,68,1712,2,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
619f7ae4fb0698ffb72c42ce,604dff87be5115f1266d3963,RETURNED,2021-11-25 12:00:41.169000,,339538.798245,59,303,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f7b131c538935b0f1f094,61648926203a75191ac318e0,AWAITING REVIEW,2021-11-25 12:01:27.072000,2021-11-25 12:36:19.167000,2092.095,65,296,5,98,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
619f7b364012875caad8941b,5c797d0cb5254b001690625d,AWAITING REVIEW,2021-11-25 12:02:03.589000,2021-11-25 13:14:08.353000,4324.764,55,939,3,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f7b579320785a64032806,5df66d09dc8535465a0b0bae,AWAITING REVIEW,2021-11-25 12:02:38.317000,2021-11-25 12:42:24.533000,2386.216,28,636,0,100,,E11857CB,United States,United States,Full-Time,Black,English,United States,Female,No
619f7b7968c4bc315e16790f,5c2fcd716ea6880001dc8e3d,AWAITING REVIEW,2021-11-25 12:03:07.827000,2021-11-25 12:23:54.475000,1246.648,58,1690,5,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Female,No
